id_employee;first_name;last_name;gender;birth_date;departamento;    monthly_salary_usd    ;work_modality;country
100000;Terri;Lenz;hombre;06/30/1977;Support; $ 3,796 ;1;United States
100001;Perice;Sheehan;hombre;05/26/1989;Support; $ 3,742 ;0;United States
100002;Gordie;Gable;hombre;06/05/1974;Support; $ 3,782 ;0;United States
100003;Rasla;Burrows;mujer;10/20/1998;Engineering; $ 5,738 ;2;United States
100004;Walden;Eliassen;hombre;10/29/1974;Support; $ 4,338 ;2;United States
100005;Arney;Liveley;hombre;09/27/1975;Engineering; $ 4,856 ;1;United States
100006;Jenna;McMackin;mujer;11/27/1982;Engineering; $ 5,399 ;2;United States
100007;Waylan;Garstan;hombre;11/10/1990;Services; $ 5,144 ;2;United States
100008;Cindelyn;Jentin;mujer;09/22/1982;Engineering; $ 5,817 ;1;United States
100009;Granville;Tittershill;hombre;03/16/1992;Sales; $ 3,013 ;1;United States
100010;Marsha;Judron;mujer;06/12/1980;Engineering; $ 5,592 ;2;United States
100011;Thaine;Godber;mujer;12/16/1980;Engineering; $ 4,656 ;2;United States
100012;Baird;Mussotti;hombre;11/14/1970;Sales; $ 4,644 ;2;United States
100013;Merv;Lodder;hombre;04/03/1995;Human Resources; $ 3,218 ;0;United States
100014;Obed;Vergine;hombre;02/08/1991;Services; $ 5,194 ;2;United States
100015;Dinny;Gutman;mujer;05/28/1990;Engineering; $ 3,801 ;2;United States
100016;Laure;Mahmood;mujer;12/16/1982;Support; $ 3,742 ;0;United States
100017;Niles;Ashlin;hombre;05/17/2000;Marketing; $ 3,611 ;2;United States
100018;Mar;Blasius;hombre;11/20/1978;Accounting; $ 3,297 ;2;United States
100019;Querida;Roose;mujer;12/23/1981;Services; $ 4,985 ;2;United States
100020;Tracy;Pentin;hombre;12/21/1971;Sales; $ 4,456 ;2;United States
100021;Egon;Deem;hombre;04/25/1998;Engineering; $ 4,074 ;2;United States
100022;Gilligan;Spare;mujer;02/21/1977;Services; $ 4,093 ;2;United States
100023;Kit;Quick;mujer;04/13/1979;Support; $ 3,854 ;2;United States
100024;Warner;Weir;hombre;05/20/1980;Accounting; $ 3,692 ;2;United States
100025;Leontyne;Bergstram;mujer;05/31/1992;Services; $ 3,413 ;2;United States
100026;Kylie;Almeida;hombre;01/20/1994;Marketing; $ 3,435 ;1;United States
100027;Madelene;Beagin;mujer;09/11/1982;Marketing; $ 3,962 ;1;United States
100028;Aubree;Hamner;mujer;09/29/1975;Engineering; $ 5,376 ;2;United States
100029;Natasha;Thorsby;mujer;12/19/1971;Services; $ 4,688 ;2;United States
100030;Ronald;Timmens;hombre;06/28/1990;Support; $ 4,017 ;2;United States
100031;Jim;Batrim;hombre;06/09/1974;Support; $ 4,566 ;2;United States
100032;Vite;Gonsalo;hombre;01/25/1989;Support; $ 3,011 ;2;United States
100033;Verge;Winship;hombre;05/13/1994;Accounting; $ 3,313 ;2;United States
100034;Lenci;Lots;hombre;07/21/1984;Engineering; $ 5,434 ;2;United States
100035;Ulric;Nyssens;hombre;10/07/1983;Marketing; $ 3,626 ;2;United States
100036;Rodge;Sherrard;hombre;07/15/1998;Human Resources; $ 3,291 ;2;United States
100037;Rip;Millea;hombre;11/13/1976;Support; $ 3,782 ;2;United States
100038;Base;Jacquemet;hombre;03/27/1973;Marketing; $ 4,583 ;2;United States
100039;Jens;Chappel;hombre;08/24/1971;Engineering; $ 4,728 ;2;United States
100040;Orton;Low;hombre;02/02/1994;Sales; $ 5,298 ;2;United States
100041;Franky;Eliez;hombre;07/05/1979;Engineering; $ 5,689 ;2;United States
100042;Edgardo;Aylott;hombre;01/31/1980;Engineering; $ 4,814 ;2;United States
100043;Darin;Potell;hombre;10/29/1978;Engineering; $ 5,943 ;2;United States
100044;Griffin;Ladds;hombre;05/06/1981;Support; $ 4,408 ;2;United States
100045;Marlo;Legg;hombre;03/29/1995;Accounting; $ 3,722 ;2;United States
100046;Valeria;Demougeot;mujer;04/27/1971;Engineering; $ 3,948 ;2;United States
100047;Shellysheldon;Coast;hombre;09/16/1977;Support; $ 3,782 ;2;United States
100048;Waylen;Delaney;hombre;09/05/1999;Accounting; $ 3,589 ;2;United States
100049;Richmond;Neno;hombre;11/23/1973;Human Resources; $ 3,223 ;2;United States
100050;Langsdon;Spier;hombre;02/25/1976;Sales; $ 3,146 ;1;United States
100051;Tadeo;Fechnie;hombre;06/05/1985;Support; $ 3,019 ;2;United States
100052;Olag;Urey;hombre;06/12/1986;Engineering; $ 5,509 ;0;United States
100053;Theodoric;Pidgeley;hombre;09/03/1976;Accounting; $ 3,215 ;2;United States
100054;Torrance;Pettet;hombre;09/17/1989;Accounting; $ 4,845 ;2;United States
